text{ key = "map.caption.world_map", value = "World Map" }
text{ key = "map.caption.dungeon_name_1", value = "Forest Dungeon" }
text{ key = "map.caption.dungeon_name_2", value = "Roc's Cavern" }
text{ key = "map.caption.dungeon_name_3", value = "Master Arbor's$Den" }
text{ key = "map.caption.dungeon_name_4", value = "Beaumont's Palace" }
text{ key = "map.caption.dungeon_name_5", value = "Ancient Castle" }
text{ key = "map.caption.dungeon_name_6", value = "Inferno's Maze" }
text{ key = "map.caption.dungeon_name_7", value = "Crystal Temple" }
text{ key = "map.caption.dungeon_name_8", value = "Rock Peaks$Dungeon" }
text{ key = "map.caption.dungeon_name_9", value = "Shrine of Memories" }
text{ key = "map.caption.dungeon_name_10", value = "Skyward Tower" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Wallet" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Big Wallet" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Giant Wallet" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Bomb Bag" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Large$Bomb Bag" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Giant$Bomb Bag" }
text{ key = "quest_status.caption.quiver_1", value = "Quiver" }
text{ key = "quest_status.caption.quiver_2", value = "Large Quiver" }
text{ key = "quest_status.caption.quiver_3", value = "Giant Quiver" }
text{ key = "quest_status.caption.world_map", value = "World Map" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Pieces of Heart" }
text{ key = "quest_status.caption.tunic_1", value = "Green Mail" }
text{ key = "quest_status.caption.tunic_2", value = "Blue Mail" }
text{ key = "quest_status.caption.tunic_3", value = "Red Mail" }
text{ key = "quest_status.caption.sword_1", value = "Sword$of Courage" }
text{ key = "quest_status.caption.sword_2", value = "Hylian Blade" }
text{ key = "quest_status.caption.sword_3", value = "Hero's Sword" }
text{ key = "quest_status.caption.sword_4", value = "Master Sword" }
text{ key = "quest_status.caption.shield_1", value = "Shield" }
text{ key = "quest_status.caption.shield_2", value = "Fire Shield" }
text{ key = "quest_status.caption.shield_3", value = "Mirror Shield" }
text{ key = "inventory.caption.item.feather.1", value = "Feather" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombs" }
text{ key = "inventory.caption.item.bow.1", value = "Bow" }
text{ key = "inventory.caption.item.bow.2", value = "Bow & Arrows" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.boomerang.2", value = "Super Boomerang" }
text{ key = "inventory.caption.item.lamp.1", value = "Lamp" }
text{ key = "inventory.caption.item.hookshot.1", value = "Hookshot" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Pegasus Boots" }
text{ key = "inventory.caption.item.mystic_mirror.1", value = "Mystic Mirror" }
text{ key = "inventory.caption.item.cane_of_somaria.1", value = "Cane of Somaria" }
text{ key = "inventory.caption.item.apples_counter.1", value = "Apples" }
text{ key = "inventory.caption.item.pains_au_chocolat_counter.1", value = "Pains au Chocolat" }
