text{ key = "map.caption.world_map", value = "Mapa del Mundo" }
text{ key = "map.caption.dungeon_name_1", value = "Mazmorra del Bosque" }
text{ key = "map.caption.dungeon_name_2", value = "Caverna del Roc" }
text{ key = "map.caption.dungeon_name_3", value = "Guarida del Maestro$Arbror" }
text{ key = "map.caption.dungeon_name_4", value = "Palacio de Beaumont" }
text{ key = "map.caption.dungeon_name_5", value = "Castillo Antiguo" }
text{ key = "map.caption.dungeon_name_6", value = "Laberinto de Inferno" }
text{ key = "map.caption.dungeon_name_7", value = "Templo de Cristal" }
text{ key = "map.caption.dungeon_name_8", value = "Mazmorra de los$Picos Rocosos" }
text{ key = "map.caption.dungeon_name_9", value = "Templo de los$Recuerdos" }
text{ key = "map.caption.dungeon_name_10", value = "Torre Celestial" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Bolsa de Rupias" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Bolsa de Rupias$Grande" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Bolsa de Rupias$Gigante" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Saco de Bombas" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Saco de Bombas$Grande" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Saco de Bombas$Gigante" }
text{ key = "quest_status.caption.quiver_1", value = "Carcaj" }
text{ key = "quest_status.caption.quiver_2", value = "Carcaj Grande" }
text{ key = "quest_status.caption.quiver_3", value = "Carcaj Gigante" }
text{ key = "quest_status.caption.world_map", value = "Mapa del Mundo" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Piezas de Corazón" }
text{ key = "quest_status.caption.tunic_1", value = "Túnica Verde" }
text{ key = "quest_status.caption.tunic_2", value = "Túnica Azul" }
text{ key = "quest_status.caption.tunic_3", value = "Túnica Roja" }
text{ key = "quest_status.caption.sword_1", value = "Espada del Coraje" }
text{ key = "quest_status.caption.sword_2", value = "Espada Hyliana" }
text{ key = "quest_status.caption.sword_3", value = "Espada del Héroe" }
text{ key = "quest_status.caption.sword_4", value = "Espada Maestra" }
text{ key = "quest_status.caption.shield_1", value = "Escudo" }
