text{ key = "map.caption.world_map", value = "Carte du Monde" }
text{ key = "map.caption.dungeon_name_1", value = "Donjon de la Forêt" }
text{ key = "map.caption.dungeon_name_2", value = "Caverne de Roc" }
text{ key = "map.caption.dungeon_name_3", value = "Antre de$Maître Arbror" }
text{ key = "map.caption.dungeon_name_4", value = "Palais de Beaumont" }
text{ key = "map.caption.dungeon_name_5", value = "Ancien$Château" }
text{ key = "map.caption.dungeon_name_6", value = "Dédale d'Inferno" }
text{ key = "map.caption.dungeon_name_7", value = "Temple du Cristal" }
text{ key = "map.caption.dungeon_name_8", value = "Donjon des$Pics Rocheux" }
text{ key = "map.caption.dungeon_name_9", value = "Temple des Souvenirs" }
text{ key = "map.caption.dungeon_name_10", value = "Tour des Cieux" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Sac de Rubis" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Grand$Sac de Rubis" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Sac de Rubis$Géant" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Sac de Bombes" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Grand$Sac de Bombes" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Sac de Bombes$Géant" }
text{ key = "quest_status.caption.quiver_1", value = "Carquois" }
text{ key = "quest_status.caption.quiver_2", value = "Grand Carquois" }
text{ key = "quest_status.caption.quiver_3", value = "Carquois Géant" }
text{ key = "quest_status.caption.world_map", value = "Carte du Monde" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Fragments de Coeur" }
text{ key = "quest_status.caption.tunic_1", value = "Cotte de Mailles$verte" }
text{ key = "quest_status.caption.tunic_2", value = "Cotte de Mailles$bleue" }
text{ key = "quest_status.caption.tunic_3", value = "Cotte de Mailles$rouge" }
text{ key = "quest_status.caption.sword_1", value = "Epée du Courage" }
text{ key = "quest_status.caption.sword_2", value = "Glaive Hylien" }
text{ key = "quest_status.caption.sword_3", value = "Sabre du Héros" }
text{ key = "quest_status.caption.sword_4", value = "Lame Purificatrice" }
text{ key = "quest_status.caption.shield_1", value = "Bouclier" }
text{ key = "quest_status.caption.shield_2", value = "Bouclier de Feu" }
text{ key = "quest_status.caption.shield_3", value = "Bouclier Miroir" }
text{ key = "inventory.caption.item.feather.1", value = "Plume" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombes" }
text{ key = "inventory.caption.item.bow.1", value = "Arc" }
text{ key = "inventory.caption.item.bow.2", value = "Arc & Flèches" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.boomerang.2", value = "Super Boomerang" }
text{ key = "inventory.caption.item.lamp.1", value = "Lanterne" }
text{ key = "inventory.caption.item.hookshot.1", value = "Grappin" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Flacon Magique$(Vide)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Flacon Magique$(Eau)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Flacon Magique$(Potion rouge)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Flacon Magique$(Potion verte)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Flacon Magique$(Potion bleue)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Flacon Magique$(Fée)" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Bottes de Pégase" }
text{ key = "inventory.caption.item.mystic_mirror.1", value = "Miroir Mystique" }
text{ key = "inventory.caption.item.cane_of_somaria.1", value = "Canne de Somaria" }
text{ key = "inventory.caption.item.apples_counter.1", value = "Pommes" }
text{ key = "inventory.caption.item.pains_au_chocolat_counter.1", value = "Pains au Chocolat" }
text{ key = "inventory.caption.item.croissants_counter.1", value = "Croissants" }
text{ key = "inventory.caption.item.bottle_2.1", value = "Flacon Magique$(Vide)" }
text{ key = "inventory.caption.item.bottle_2.2", value = "Flacon Magique$(Eau)" }
text{ key = "inventory.caption.item.bottle_2.3", value = "Flacon Magique$(Potion rouge)" }
text{ key = "inventory.caption.item.bottle_2.4", value = "Flacon Magique$(Potion verte)" }
text{ key = "inventory.caption.item.bottle_2.5", value = "Flacon Magique$(Potion bleue)" }
text{ key = "inventory.caption.item.bottle_2.6", value = "Flacon Magique$(Fée)" }
text{ key = "inventory.caption.item.rock_key.1", value = "Clé de Roc" }
text{ key = "inventory.caption.item.bone_key.1", value = "Clé d'Os" }
text{ key = "inventory.caption.item.clay_key.1", value = "Clé de Terre" }
text{ key = "inventory.caption.item.level_4_way.1", value = "Tarte aux Pommes" }
text{ key = "inventory.caption.item.level_4_way.2", value = "Lingots d'or" }
text{ key = "inventory.caption.item.level_4_way.3", value = "Edelweiss" }
text{ key = "inventory.caption.item.level_4_way.4", value = "Précis d'escrime" }
text{ key = "inventory.caption.item.flippers.1", value = "Palmes" }
text{ key = "inventory.caption.item.magic_cape.1", value = "Cape Magique" }
text{ key = "inventory.caption.item.bottle_3.1", value = "Flacon Magique$(Vide)" }
text{ key = "inventory.caption.item.bottle_3.2", value = "Flacon Magique$(Eau)" }
text{ key = "inventory.caption.item.bottle_3.3", value = "Flacon Magique$(Potion rouge)" }
text{ key = "inventory.caption.item.bottle_3.4", value = "Flacon Magique$(Potion verte)" }
text{ key = "inventory.caption.item.bottle_3.5", value = "Flacon Magique$(Potion bleue)" }
text{ key = "inventory.caption.item.bottle_3.6", value = "Flacon Magique$(Fée)" }
text{ key = "inventory.caption.item.iron_key.1", value = "Clé de Fer" }
text{ key = "inventory.caption.item.stone_key.1", value = "Clé de Pierre" }
text{ key = "inventory.caption.item.wooden_key.1", value = "Clé de Bois" }
text{ key = "inventory.caption.item.ice_key.1", value = "Clé de Glace" }
text{ key = "inventory.caption.item.glove.1", value = "Poigne de Fer" }
text{ key = "inventory.caption.item.glove.2", value = "Poigne d'Or" }
text{ key = "inventory.caption.item.fire_stones_counter.1", value = "Pierres de Feu" }
text{ key = "inventory.caption.item.bottle_4.1", value = "Flacon Magique$(Vide)" }
text{ key = "inventory.caption.item.bottle_4.2", value = "Flacon Magique$(Eau)" }
text{ key = "inventory.caption.item.bottle_4.3", value = "Flacon Magique$(Potion rouge)" }
text{ key = "inventory.caption.item.bottle_4.4", value = "Flacon Magique$(Potion verte)" }
text{ key = "inventory.caption.item.bottle_4.5", value = "Flacon Magique$(Potion bleue)" }
text{ key = "inventory.caption.item.bottle_4.6", value = "Flacon Magique$(Fée)" }
text{ key = "options.caption.press_action_change_mode", value = "Appuyez sur Action$pour changer de mode" }
text{ key = "options.caption.press_action_customize_key", value = "Appuyez sur Action pour$configurer cette touche" }
text{ key = "options.caption.press_key", value = "Appuyez sur une touche$du clavier ou du joypad" }
text{ key = "options.video.windowed", value = "Fenêtré" }
text{ key = "options.video.fullscreen", value = "Plein écran" }
text{ key = "options.commands_column", value = "Commandes" }
text{ key = "options.keyboard_column", value = "Clavier" }
text{ key = "options.joypad_column", value = "Joypad" }
text{ key = "options.command.action", value = "Action" }
text{ key = "options.command.attack", value = "Epée" }
text{ key = "options.command.item_1", value = "Obj gauche" }
text{ key = "options.command.item_2", value = "Obj droit" }
text{ key = "options.command.pause", value = "Pause" }
text{ key = "options.command.right", value = "Droite" }
text{ key = "options.command.up", value = "Haut" }
text{ key = "options.command.left", value = "Gauche" }
text{ key = "options.command.down", value = "Bas" }
text{ key = "save_dialog.yes", value = "Oui" }
text{ key = "save_dialog.no", value = "Non" }
text{ key = "save_dialog.save_question_0", value = "Voulez-vous sauvegarder" }
text{ key = "save_dialog.save_question_1", value = "votre progression ?" }
text{ key = "save_dialog.continue_question_0", value = "Voulez-vous continuer" }
text{ key = "save_dialog.continue_question_1", value = "la partie ?" }
text{ key = "selection_menu.phase.select_file", value = "Veuillez choisir un fichier" }
