text{ key = "map.caption.world_map", value = "Mappa del Mondo" }
text{ key = "map.caption.dungeon_name_1", value = "La Foresta Intricata" }
text{ key = "map.caption.dungeon_name_2", value = "La Caverna del Roc" }
text{ key = "map.caption.dungeon_name_3", value = "Il Rifugio del$Potente Arbror" }
text{ key = "map.caption.dungeon_name_4", value = "Il Palazzo di Beaumont" }
text{ key = "map.caption.dungeon_name_5", value = "L'Antico Castello" }
text{ key = "map.caption.dungeon_name_6", value = "Il Labirinto dell'Inferno" }
text{ key = "map.caption.dungeon_name_7", value = "Il Tempio di Cristallo" }
text{ key = "map.caption.dungeon_name_8", value = "Le Caverne$delle Cime Rocciose" }
text{ key = "map.caption.dungeon_name_9", value = "Il Tempio dei Ricordi" }
text{ key = "map.caption.dungeon_name_10", value = "La Torre Celestiale" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Portamonete" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Portamonete Grande" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Portamonete Gigante" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Borsa per Bombe" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Borsa per Bombe$Larga" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Borsa per Bombe$Gigante" }
text{ key = "quest_status.caption.quiver_1", value = "Faretra" }
text{ key = "quest_status.caption.quiver_2", value = "Faretra Grande" }
text{ key = "quest_status.caption.quiver_3", value = "Faretra Gigante" }
text{ key = "quest_status.caption.world_map", value = "Mappa del Mondo" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Frammenti del Cuore" }
text{ key = "quest_status.caption.tunic_1", value = "Armatura Verde" }
text{ key = "quest_status.caption.tunic_2", value = "Armatura Blu" }
text{ key = "quest_status.caption.tunic_3", value = "Armatura Rossa" }
text{ key = "quest_status.caption.sword_1", value = "Spada$del Coraggio" }
text{ key = "quest_status.caption.sword_2", value = "Spada di Hylian" }
text{ key = "quest_status.caption.sword_3", value = "Spada dell'Eroe" }
text{ key = "quest_status.caption.sword_4", value = "Spada del Maestro" }
text{ key = "quest_status.caption.shield_1", value = "Scudo" }
text{ key = "quest_status.caption.shield_2", value = "Scudo di Fuoco" }
text{ key = "quest_status.caption.shield_3", value = "Scudo Riflettente" }
text{ key = "inventory.caption.item.feather.1", value = "Piuma" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombe" }
text{ key = "inventory.caption.item.bow.1", value = "Arco" }
text{ key = "inventory.caption.item.bow.2", value = "Arco e Frecce" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.boomerang.2", value = "Boomerang Migliorato" }
text{ key = "inventory.caption.item.lamp.1", value = "Lampada" }
text{ key = "inventory.caption.item.hookshot.1", value = "Fionda" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Ampolla Magica$(Vuota)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Ampolla Magica$(Acqua)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Ampolla Magica$(Pozione Rossa)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Ampolla Magica$(Pozione Verde)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Ampolla Magica$(Pozione Blu)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Ampolla Magica$(Fatina)" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Scarpe del Pegaso" }
text{ key = "inventory.caption.item.mystic_mirror.1", value = "Specchio Mistico" }
text{ key = "inventory.caption.item.cane_of_somaria.1", value = "Bastone di Somaria" }
text{ key = "inventory.caption.item.apples_counter.1", value = "Mele" }
text{ key = "inventory.caption.item.pains_au_chocolat_counter.1", value = "Cornetti di Cioccolato" }
