text{ key = "map.caption.world_map", value = "Karte du Monde" }
text{ key = "map.caption.dungeon_name_1", value = "Dongeon de la Foré" }
text{ key = "map.caption.dungeon_name_2", value = "Kaverne de Rock" }
text{ key = "map.caption.dungeon_name_3", value = "Antr de$Métre Arblol" }
text{ key = "map.caption.dungeon_name_4", value = "Palé de Lolmont" }
text{ key = "map.caption.dungeon_name_5", value = "Ancien$Chapito" }
text{ key = "map.caption.dungeon_name_6", value = "Dédal d'Inferlol" }
text{ key = "map.caption.dungeon_name_7", value = "Templ dé Kristo" }
text{ key = "map.caption.dungeon_name_8", value = "Dongeon des$Piques Rocheu" }
text{ key = "map.caption.dungeon_name_9", value = "Tampl dé Souvenirs ll" }
text{ key = "map.caption.dungeon_name_10", value = "Tourre dé sieu" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Sac de Ruby" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Gran$Sac de Ruby" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Sac 2 Rubis$Supayr gran" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Sac 2 Bombe mdr" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Plu Gran$Sack de Bombe" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Sac de Bombes$Tro Géan" }
text{ key = "quest_status.caption.quiver_1", value = "Karkoi" }
text{ key = "quest_status.caption.quiver_2", value = "Grand Karkoi" }
text{ key = "quest_status.caption.quiver_3", value = "Karkoi de ouf" }
text{ key = "quest_status.caption.world_map", value = "Kart du Mond" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Fragmen de <3" }
text{ key = "quest_status.caption.tunic_1", value = "Cotte de Mailles$vairte" }
text{ key = "quest_status.caption.tunic_2", value = "Kotte de Maille$bleu" }
text{ key = "quest_status.caption.tunic_3", value = "Cotte de Maille$Ki maille" }
text{ key = "quest_status.caption.sword_1", value = "Aipai du Courage" }
text{ key = "quest_status.caption.sword_2", value = "Gléve Lolien" }
text{ key = "quest_status.caption.sword_3", value = "Sabr du Hairos" }
text{ key = "quest_status.caption.sword_4", value = "Lame Purificamdr" }
text{ key = "quest_status.caption.shield_1", value = "Bouclié" }
text{ key = "quest_status.caption.shield_2", value = "Bouclié de Feu!!!!!" }
text{ key = "quest_status.caption.shield_3", value = "Bouclié Miroire" }
text{ key = "inventory.caption.item.feather.1", value = "Plumes" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombe" }
text{ key = "inventory.caption.item.bow.1", value = "Ark" }
text{ key = "inventory.caption.item.bow.2", value = "Ark & Flaiche" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boumeurangue" }
text{ key = "inventory.caption.item.boomerang.2", value = "Super Boumeurangue" }
text{ key = "inventory.caption.item.lamp.1", value = "Lantern" }
text{ key = "inventory.caption.item.hookshot.1", value = "Grapin" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Flakon Magique$(ri1)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Flakon Magique$(o)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Flakon Magique$(Possion rouge)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Flakon Magique$(Possion verte)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Flakon Magique$(Possion bleue)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Flakon Magique$(Fai)" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Bottes de Pet-gas" }
text{ key = "inventory.caption.item.mystic_mirror.1", value = "Miroir Mistik!!" }
text{ key = "inventory.caption.item.cane_of_somaria.1", value = "Kanne de Lolmaria" }
text{ key = "inventory.caption.item.apples_counter.1", value = "Pome" }
text{ key = "inventory.caption.item.pains_au_chocolat_counter.1", value = "P1 au Schokobon" }
